iter	RMSE
0	0.9117563093
1	0.8323683411
2	0.7609517425
3	0.6997273023
4	0.6433894602
5	0.5940474554
6	0.5496551898
7	0.510850097
8	0.4759473362
9	0.4455049433
10	0.4190802102
11	0.3961841453
12	0.3765972649
13	0.3592541878
14	0.3445765268
15	0.3320923384
16	0.321418761
17	0.3122805043
18	0.3043759064
19	0.2980620522
20	0.2924903307
21	0.2877020189
22	0.2836077268
23	0.2802812438
24	0.2774470511
25	0.2751790648
26	0.2729345388
27	0.2710244662
28	0.2692915925
29	0.2679605134
30	0.2667256312
31	0.2656499761
32	0.2646155505
33	0.2638572443
34	0.2630549737
35	0.2623498054
36	0.261657929
37	0.2610983313
38	0.2604373477
39	0.2599824016
40	0.2595569541
41	0.2591396353
42	0.2586860204
43	0.2583577785
44	0.2580399777
45	0.2577805356
46	0.2573996535
47	0.2571402271
48	0.2568103168
49	0.2565342722
50	0.2563525154
51	0.2561454171
52	0.2559136069
53	0.2556845261
54	0.2555008857
55	0.2552307966
56	0.2550550615
57	0.2548977084
58	0.254721587
59	0.2545534968
60	0.2543683902
61	0.2542346869
62	0.2540667605
63	0.2539018666
64	0.2537150283
65	0.2536134645
66	0.2533955631
67	0.253246647
68	0.2531001388
69	0.2529617557
70	0.2528338303
71	0.2526731758
72	0.2524467228
73	0.2522846291
74	0.2521336859
75	0.252027447
76	0.2519259661
77	0.2518228485
78	0.2517160937
79	0.2515699677
80	0.2514985715
81	0.2514067398
82	0.2513363521
83	0.2512193751
84	0.2510977915
85	0.2510326417
86	0.2508239183
87	0.2507495861
88	0.2506776713
89	0.2505507014
90	0.2504489124
91	0.2503380955
92	0.2501888174
93	0.2501058817
94	0.2499658814
95	0.2498897547
96	0.2498119959
97	0.2497034905
98	0.2496190936
99	0.2495231749
