iter	Passed	Remaining
0	20	2068
1	36	1780
2	53	1722
3	69	1660
4	88	1676
5	104	1639
6	121	1620
7	138	1587
8	154	1561
9	170	1531
10	186	1507
11	200	1473
12	218	1461
13	236	1452
14	255	1448
15	270	1419
16	287	1402
17	303	1382
18	319	1361
19	335	1343
20	351	1320
21	364	1293
22	381	1278
23	396	1255
24	412	1238
25	429	1221
26	446	1206
27	460	1185
28	478	1172
29	493	1152
30	510	1135
31	525	1117
32	542	1101
33	558	1083
34	574	1067
35	588	1046
36	603	1028
37	620	1012
38	638	998
39	656	985
40	673	969
41	689	951
42	706	936
43	723	920
44	739	903
45	753	884
46	769	867
47	783	848
48	797	829
49	812	812
50	826	793
51	840	775
52	856	759
53	872	742
54	887	726
55	902	709
56	919	693
57	934	676
58	950	660
59	968	645
60	987	631
61	1003	615
62	1020	599
63	1038	584
64	1057	569
65	1073	552
66	1090	537
67	1104	519
68	1119	502
69	1134	486
70	1148	468
71	1162	452
72	1177	435
73	1192	418
74	1206	402
75	1220	385
76	1235	369
77	1251	353
78	1269	337
79	1285	321
80	1303	305
81	1319	289
82	1334	273
83	1350	257
84	1365	240
85	1379	224
86	1396	208
87	1412	192
88	1430	176
89	1446	160
90	1461	144
91	1478	128
92	1494	112
93	1511	96
94	1527	80
95	1544	64
96	1560	48
97	1577	32
98	1593	16
99	1612	0
